RouteNumber,year,first
460703,2014.0,74
460703,2014.0,74
460704,2014.0,79
460706,2014.0,70
470403,2014.0,101
470503,2014.0,98
500132,2014.0,101
500133,2014.0,102
500135,2014.0,109
500180,2014.0,102
500180,2014.0,102
500215,2014.0,122
500235,2014.0,110
500271,2014.0,122
500271,2014.0,122
500332,2014.0,102
500413,2014.0,110
500422,2014.0,111
500429,2014.0,109
500541,2014.0,102
500635,2014.0,109
500729,2014.0,109
500822,2014.0,111
500834,2014.0,102
501434,2014.0,102
520118,2014.0,70
580107,2014.0,103
580107,2014.0,103
580203,2014.0,112
580304,2014.0,111
580304,2014.0,111
580805,2014.0,103
590605,2014.0,80
591005,2014.0,90
591805,2014.0,90
591905,2014.0,80
592105,2014.0,79
592305,2014.0,89
610323,2014.0,99
610323,2014.0,99
610422,2014.0,98
610523,2014.0,93
610620,2014.0,103
610723,2014.0,93
610822,2014.0,98
610823,2014.0,95
610823,2014.0,95
610823,2014.0,95
610920,2014.0,102
610920,2014.0,102
611122,2014.0,100
630110,2014.0,55
630210,2014.0,53
630211,2014.0,61
630224,2014.0,45
630224,2014.0,45
630323,2014.0,41
630510,2014.0,55
630810,2014.0,52
630923,2014.0,41
720111,2014.0,93
720214,2014.0,92
800107,2014.0,40
800407,2014.0,41
800507,2014.0,41
820403,2014.0,53
880104,2014.0,70
880110,2014.0,69
880319,2014.0,70
880417,2014.0,68
880417,2014.0,68
880417,2014.0,68
880504,2014.0,70
881113,2014.0,53
881404,2014.0,71
881404,2014.0,71
881604,2014.0,68
900405,2014.0,94
210302,2015.0,73
210702,2015.0,74
250304,2015.0,39
250406,2015.0,38
350116,2015.0,73
350116,2015.0,73
350116,2015.0,73
350511,2015.0,79
350511,2015.0,79
350610,2015.0,80
350814,2015.0,73
360219,2015.0,76
360416,2015.0,74
360417,2015.0,74
360511,2015.0,78
360511,2015.0,78
440109,2015.0,114
440113,2015.0,107
440209,2015.0,117
440315,2015.0,109
440415,2015.0,108
440508,2015.0,124
440516,2015.0,109
460107,2015.0,76
460107,2015.0,76
460107,2015.0,76
460307,2015.0,74
460405,2015.0,81
460501,2015.0,95
460508,2015.0,72
460508,2015.0,72
460604,2015.0,86
460703,2015.0,85
460703,2015.0,85
460703,2015.0,85
460704,2015.0,86
460706,2015.0,76
470403,2015.0,104
470503,2015.0,103
500132,2015.0,75
500133,2015.0,89
500135,2015.0,90
500180,2015.0,78
500180,2015.0,78
500215,2015.0,101
500235,2015.0,91
500271,2015.0,102
500271,2015.0,102
500332,2015.0,79
500413,2015.0,91
500422,2015.0,91
500429,2015.0,90
500541,2015.0,90
500635,2015.0,91
500729,2015.0,91
500822,2015.0,92
500834,2015.0,78
501434,2015.0,88
520118,2015.0,70
580107,2015.0,107
580107,2015.0,107
580203,2015.0,117
580304,2015.0,117
580304,2015.0,117
580805,2015.0,105
590605,2015.0,92
591005,2015.0,94
591805,2015.0,94
591905,2015.0,92
592105,2015.0,92
592305,2015.0,94
610323,2015.0,103
610323,2015.0,103
610422,2015.0,102
610523,2015.0,98
610620,2015.0,105
610723,2015.0,100
610822,2015.0,103
610823,2015.0,102
610823,2015.0,102
610823,2015.0,102
610920,2015.0,105
610920,2015.0,105
611122,2015.0,104
630110,2015.0,68
630210,2015.0,67
630211,2015.0,70
630224,2015.0,43
630224,2015.0,43
630323,2015.0,42
630510,2015.0,67
630810,2015.0,63
630923,2015.0,43
720111,2015.0,96
720214,2015.0,93
800107,2015.0,43
800407,2015.0,42
800507,2015.0,43
820403,2015.0,70
880104,2015.0,75
880110,2015.0,71
880319,2015.0,72
880417,2015.0,73
880417,2015.0,73
880417,2015.0,73
880504,2015.0,74
881113,2015.0,70
881404,2015.0,75
881404,2015.0,75
881604,2015.0,73
900405,2015.0,95
